true_values,predicted_values,difference
7.03,6.937065174815514,0.09293482518448659
5.63,5.612440595586664,0.017559404413336033
6.52,5.968482277506633,0.551517722493367
6.5,7.045351604868296,0.545351604868296
6.36,5.886644993229445,0.4733550067705554
5.79,6.744632105381814,0.9546321053818136
6.56,5.694771728055389,0.8652282719446109
5.0,6.728690514129595,1.7286905141295952
7.74,7.31905934230749,0.4209406576925101
6.42,5.9639997408514285,0.45600025914857145
6.68,7.025300957178532,0.34530095717853193
6.21,6.734465732327723,0.5244657323277231
6.3,6.027071237095317,0.2729287629046828
7.52,7.542776826776387,0.02277682677638726
6.89,6.701204623664721,0.18879537633527832
4.93,5.55481068847645,0.6248106884764502
7.44,7.02223525159952,0.4177647484004803
6.62,5.875489508708128,0.7445104912918721
6.02,6.273523257128895,0.25352325712889545
6.62,7.035155164046085,0.41515516404608466
6.62,6.304073682702281,0.3159263172977189
5.3,5.4407396703631115,0.14073967036311164
4.8,5.150526656494719,0.35052665649471937
6.8,6.793402203526453,0.0065977964735468575
9.0,5.648184984991626,3.3518150150083743
4.16,4.452188808342303,0.29218880834230276
7.82,7.674864127917485,0.14513587208251533
7.39,7.199041336192644,0.19095866380735593
5.41,5.906113588637928,0.496113588637928
6.4,6.546021024893115,0.14602102489311442
5.5,5.922222875327035,0.4222228753270354
8.27,6.679206042791339,1.5907939572086605
7.59,7.53141932311706,0.05858067688294
6.47,6.557267871815821,0.08726787181582107
8.49,7.668266521165371,0.8217334788346289
6.65,6.32593169309476,0.32406830690524036
7.2,6.3019302924627185,0.8980697075372817
6.44,6.122468739171229,0.3175312608287717
5.24,5.724931280515109,0.4849312805151085
6.24,5.92898559435859,0.31101440564141036
6.0,5.93254377297266,0.06745622702734
7.88,8.494201632813297,0.6142016328132973
8.93,8.384166167297042,0.5458338327029573
6.13,5.419832230026229,0.7101677699737712
6.03,5.658570415407639,0.3714295845923612
4.0,5.552748424432291,1.5527484244322913
6.1,6.0941223433279825,0.0058776566720171175
4.65,6.911325917998329,2.2613259179983283
6.5,6.093414558275237,0.4065854417247632
6.83,6.583378354883318,0.24662164511668205
7.07,7.011327614600239,0.058672385399761495
8.0,6.540641662010291,1.459358337989709
7.14,6.928722800570104,0.21127719942989565
7.71,7.599402171971392,0.11059782802860774
6.25,5.96639557459254,0.2836044254074599
6.91,7.071222624869755,0.16122262486975458
7.11,7.014154584752649,0.0958454152473509
7.4,7.317748551926931,0.08225144807306961
7.85,7.8514781341866575,0.0014781341866578757
5.39,5.681403342910693,0.2914033429106935
6.18,5.678206961669672,0.5017930383303275
6.93,7.076091598372148,0.14609159837214847
7.1,7.071856298731686,0.02814370126831367
6.05,5.770924539051238,0.27907546094876157
5.72,5.63336368444694,0.08663631555305962
5.87,6.200329731402339,0.33032973140233857
6.77,6.40769366141247,0.3623063385875298
7.21,6.745484790240475,0.46451520975952487
5.95,6.556003414808569,0.6060034148085691
8.03,7.457107794550031,0.5728922054499686
6.56,7.078429538889863,0.5184295388898637
7.87,7.827367359665381,0.04263264033461933
5.67,5.824441450934227,0.15444145093422712
9.25,6.587228286477989,2.6627717135220106
6.15,6.55675816300292,0.40675816300291956
4.92,5.463574637747655,0.5435746377476551
6.39,6.275934243441046,0.11406575655895335
7.24,7.459666443005839,0.21966644300583837
7.09,6.828626846575431,0.2613731534245689
4.95,6.640447730132285,1.690447730132285
7.47,7.559626859008951,0.08962685900895107
6.78,6.759745428589952,0.020254571410048605
5.95,6.821497414186899,0.8714974141868987
6.5,6.462138964713615,0.03786103528638485
5.94,5.756284494953021,0.18371550504697964
5.21,6.112007468121056,0.9020074681210559
6.71,6.625326439129562,0.08467356087043765
4.67,4.41850783098513,0.25149216901487037
6.59,5.995375714351405,0.594624285648595
7.07,6.866003374071678,0.20399662592832257
6.54,6.8158860655264375,0.27588606552643746
7.42,7.107713573812911,0.3122864261870886
6.4,6.302663917099742,0.09733608290025852
6.48,6.718682068708015,0.23868206870801423
7.51,7.130751832097805,0.37924816790219484
6.78,5.820351968115698,0.9596480318843019
8.2,5.939401714839089,2.26059828516091
6.22,5.872316491748558,0.3476835082514418
6.96,6.462460291514648,0.4975397084853519
5.5,5.610212286352032,0.11021228635203162
7.66,7.309932607921297,0.35006739207870297
6.38,7.028409463694385,0.6484094636943851
5.89,5.369360180120232,0.5206398198797677
7.04,7.264412201483659,0.22441220148365915
7.7,8.18595182318094,0.48595182318093944
4.85,5.312829843632816,0.4628298436328162
7.92,8.011248046342844,0.09124804634284445
7.46,7.444284488669046,0.015715511330953724
6.8,6.195958405107324,0.6040415948926761
5.39,5.537772857650602,0.14777285765060189
7.2,7.268040841321492,0.06804084132149146
6.99,7.129917963550053,0.1399179635500527
7.69,7.4981236954503245,0.19187630454967586
6.74,6.5744685536592415,0.16553144634075867
6.49,6.700781566859263,0.21078156685926253
5.29,6.420953545664361,1.1309535456643607
7.09,6.566092070254004,0.5239079297459961
7.61,7.375283338777333,0.23471666122266743
8.17,8.277478992775814,0.10747899277581396
7.05,6.4332324404165515,0.6167675595834483
