Year,Adult Mortality,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness 5-19 years,Income composition of resources,Schooling
7.607878073775032,5.602118824569738,-4.6050701909877585,4.297606207545658,4.189654757177941,5.393627550897816,2.9231616344825953,3.8066625119925415,4.127134401174124,2.101692272864037,4.127134401174124,-2.3025750930440454,6.4178697317768005,12.699493684399624,3.292126323782514,-0.7423353239125878,2.3025851929940404
7.607381426136563,5.5909869842422,-4.6050701909877585,4.293458278766854,4.189654757177941,5.393627550897816,2.8959119935203974,3.8066625119925415,4.127134401174124,2.0955610465609418,4.1588830989846715,-2.3025750930440454,6.4484857953067385,17.158115227083496,3.292126323782514,-0.7550204566207219,2.29253485815064
7.602900462703757,5.680172612430036,-3.9119730066781044,2.727595764641379,4.204692634316339,5.393627550897816,2.6246686646269244,3.8066625119925415,4.127134401174124,2.173614825462722,4.127134401174124,-2.3025750930440454,5.389716972744055,16.998509598910776,3.292126323782514,-0.9649532791869646,1.9169227592408737
7.6024013361650695,5.68697535972965,-4.6050701909877585,2.405958471301571,4.189654757177941,5.393627550897816,2.5952547815837286,3.8066625119925415,4.127134401174124,2.177021983397378,4.127134401174124,-2.3025750930440454,5.291939796009124,14.676225575809712,3.292126323782514,-0.9861741783767679,1.8718023307477334
7.605392365312695,4.510859517505861,1.7561324642964606,5.852363250470863,4.584967488874653,-13.815510557964274,3.9796816725935495,9.999994999180668e-07,4.584967488874653,1.7561324642964606,4.584967488874653,-2.3025750930440454,8.322184260230898,14.889665864612624,1.1314024340716937,-0.3271147547355978,2.5014360337064203
7.603897969020386,4.5951198602356,1.6695920235777468,1.194575346210466,4.584967488874653,4.219507719881989,1.7578580899661518,9.999994999180668e-07,4.574710988812661,1.7681497742373709,4.574710988812661,-2.3025750930440454,3.559035568556293,14.911635422222759,1.252763254209613,-0.3624041818671404,2.4336134431197443
7.603399340239423,2.7080502677688743,1.6409367732919022,3.2955821087416384,4.584967488874653,1.7917596358947079,3.9100210227975527,9.999994999180668e-07,4.574710988812661,1.8115622599229142,4.584967488874653,-2.3025750930440454,5.631723951715239,12.649112882794634,1.2809341232398035,-0.37833498086696266,2.3795462267227623
7.602900462703757,2.833213402879744,1.5129272323175496,5.401969027444906,4.5951198602356,1.945910291912446,3.8897774169307238,9.999994999180668e-07,4.584967488874653,1.8531682540964982,4.574710988812661,-2.3025750930440454,7.7901120045850005,12.69752888813838,1.3083330899204126,-0.3841915044049215,2.388762880978213
7.6024013361650695,2.890371813451719,1.4562869660401316,2.689158866212945,4.574710988812661,2.079441666679828,3.869115525293696,9.999994999180668e-07,4.574710988812661,1.8357765141344498,4.574710988812661,-2.3025750930440454,5.245346655557242,12.735570846564494,1.3609768095458243,-0.39452368439140534,2.3702438349258
7.608374474877062,2.944439031798018,1.5163899384369495,-13.815510557964274,4.553876902126857,4.143134742264548,4.0859763293583065,3.1780538720146114,4.553876902126857,1.782720095474845,4.553876902126857,-2.3025750930440454,8.32670145041786,17.158115227083496,2.468099616217378,-0.29705788837026337,2.667228276026397
7.607878073775032,2.397895363707457,-4.6050701909877585,3.9933692194756834,4.553876902126857,-13.815510557964274,4.067315906957469,3.1780538720146114,4.553876902126857,1.9754690899931033,4.553876902126857,-2.3025750930440454,6.306004631711052,17.158115227083496,2.468099616217378,-0.2997533041592954,2.667228276026397
7.607381426136563,4.718498880223666,-0.6348763856452966,6.299777477675147,4.553876902126857,3.2188758648682,4.0465539158682695,3.1780538720146114,4.553876902126857,1.9629078658733128,4.553876902126857,-2.3025750930440454,8.60737511087,17.158115227083496,2.459588927273792,-0.30516602994161784,2.667228276026397
7.606884531716648,4.727387827561898,-0.4155139288112984,6.320635343686429,4.553876902126857,2.890371813451719,4.027135830353963,3.1780538720146114,4.553876902126857,1.8148249050254872,4.553876902126857,-2.3025750930440454,8.624220935456117,17.158115227083496,2.459588927273792,-0.31197339890154,2.667228276026397
7.6063873902699175,4.753590199727054,-0.5798167095402507,6.23245202734798,4.553876902126857,4.718498880223666,4.007333203414289,3.1780538720146114,4.553876902126857,1.665818434906107,4.553876902126857,-2.3025750930440454,8.600109115324845,17.158115227083496,2.459588927273792,-0.32296250538190496,2.6390574010438272
7.605890001550634,4.77912350151489,-0.7985054739980185,6.065452624985387,4.553876902126857,4.634728997938374,3.987130496467827,3.1780538720146114,4.553876902126857,1.6331546343638974,4.553876902126857,-2.3025750930440454,8.403664893611985,17.158115227083496,2.459588927273792,-0.3368709160833094,2.6100698662714152
7.605392365312695,4.812184363502499,-0.6931451805619453,5.863811962948261,4.543294792908302,4.6728288438077,3.9665112096516095,3.13549425940741,4.543294792908302,1.6789641616498574,4.553876902126857,-2.3025750930440454,8.26070773291684,15.081493188973408,2.4765384841510936,-0.3495560577311581,2.5726123065429807
7.6048944813096275,4.836281914887986,-0.7765266155883158,3.7632253737059207,4.510859517505861,5.379897358148755,3.947390168570456,3.13549425940741,4.521788587918605,1.4350847633845325,4.532599503905944,-2.3025750930440454,6.2050725128902915,15.064470590169842,2.4765384841510936,-0.36096843350241287,2.5336968933225084
